augcat,london,,,
quest,Marked by the Eater-of-Chains,eater_chains,,
mappings,"story=456,dangerous=211",,,
ns,A card in the London Opportunity deck begins this story.,!story && dangerous>=21,,
ip,The Eater-of-Chains lurks in the London Opportunity deck.,story,,
b,Increase your dangerous to continue.,story=2&&dangerous<45,,
b,Increase your dangerous to continue.,story>=3 && story<=4 &&dangerous<105,,
c,You've fought off the Eater-of-Chains.,story>=11,,
//,******************************************************************************,,,
quest,Assisting a Keen-Eyed Lapidary,lapidary,,
mappings,"story=646,watchful=209,cane=645",,,
ns,A card in the London Opportunity deck begins this story.,!story && watchful>=30,,
ip,Watch for her in the London Opportunities deck.,story,,
c,You've been rewarded for helping the Keen-Eyed Lapidary.,cane,,
//,******************************************************************************,,,
quest,A Nocturnal Visitor to the Palace Cellars,palace_cellars,,
mappings,"story=579,shadowy=210",,,
ns,A card in the London Opportunity deck begins this story.,!story && shadowy>=69,,
b,"You're shadowy is too high to start this story. It needs to be below 107.
This includes your equipment so changing your outfit may help.",!story && shadowy>106,,This is... weird. It makes me feel like I must be missing something.
ip,Watch the London Opportunity deck for chances to return to the cellar.,story,,
b,Increase your Shadowy to continue.,story=1 && shadowy<81,,
b,Increase your Shadowy to continue.,story=2 && shadowy<93,,
b,Increase your Watchful to continue.,story>=3 && watchful<105,,
c,"You've gone as deep as you can. You may continue your visits or
forswear the place entirely.",story=5,,
c,You've forsworn that wretched place.,story>=6,,
//,******************************************************************************,,,
quest,The Once-Dashing Smuggler,dashing_smuggler,,
mappings,roses=665,,,
ns,A card in the London Opportunity deck begins this story.,!roses && shadowy>=71,,
ip,He'll find you in the London Opportunity deck.,roses,,
ip,An epilogue awaits on a card in the Tomb-Colonies.,roses=1,,
c,Your relationship ended on bad terms.,roses=2,,
c,Your relationship ended on good terms.,roses=3,,
//,******************************************************************************,,,
quest,Playing with Broken Toys,broken_toys,,
mappings,"story=687,icarus=960,rendevous=976,plasterface=672",,,
ns,A card in the London Opportunity deck begins this story.,!story && icarus,,
ip,The story continues in the London Opportunity deck.,story,,
ip,"The story continues on the card associated with your faction pet. If you
don't have one head to a rendezvous at Watchmaker's Hill.",story=6,,
b,"The next step requires a faction pet. Various cards drawn around London
will give you the opportunity to choose between factions to help in a
conflict. Play one of these and then head to Watchmaker's Hill.",story=6 && !rendevous,,
b,Proress *Seeking the Meaning of the Plaster Face* to continue.,plasterface && plasterface <= 14,,
c,"You've completed this story, though you can continue to return to
the Watchmaker's Daughter.",story>=11,,
//,******************************************************************************,,,
quest,Ascending the Reliables List of Mr Pages,pages_reliables,,
mappings,"story=519,mynw=1018,fallencities=962,watchful=209",,,
ns,A card in the London Opportunity deck begins this story.,!story && (mynw>=3 || fallencities>=5),,
ip,The story continues in the London Opportunity deck.,story,,
b,"Progress *A Name in Seven Secret Alphabets* or increase
your *Walking the Falling Cities* to continue.",story=1 && mynw<5 && fallencities<5,,
b,Increase your Watchful or *Walking the Falling Cities* to continue.,story=2 && watchful<69 && fallencities<10,,
b,Progress *A Name in Seven Secret Alphabets* to continue.,story=3 && mynw<6,,
ip,"Head to Your Activities (the bee icon in the bottom right corner of the
map) and write a special short story to appease Mr. Pages.",story=16,,
c,You beat up a man and stole his book for Mr. Pages.,story=20,,
c,You created a forgery and left Mr. Pages none the wiser.,story=21,,
c,"You let the Wilting Dandy keep his book and were forced to write
a replacement for Mr. Pages.",story=23,,
//,******************************************************************************,,,
quest,Occasionally Seen at Mr Wines' Revels,wines_revels,,
mappings,"story=527,mynp=1020,persuasive=212",,,
ns,A card in the London Opportunity deck begins this story.,!story && mynp>=4,,
ip,The story continues in the London Opportunity deck.,story,,
b,Increase your Persuasive to contine.,story=3 && persuasive<85,,
c,"You've completed this story. It's possible to replay some of it via
a storylet in The Singing Mandrake.",story>=10,,
//,******************************************************************************,,,
quest,Inconvenienced by Your Aunt,your_aunt,,
mappings,"story=454,mynp=1020,persuasive=212,avoiding=144627",,,
ns,A card in the London Opportunity deck begins this story.,!story && mynp>=2,,
ip,The story continues in the London Opportunity deck.,story,,
b,Increase your Persuasive to continue.,story=1 && persuasive<33,,
b,Increase your Persuasive to continue.,story=2 && persuasive<45,,
ip,"She still lurks in your opportunity deck, but it's probably best to put the
matter out of your mind for now.",story=3,,
b,Increase your Persuasive to continue.,story=3 && persuasive<65,,
c,You've concluded the free portion of this story.,avoiding || story>3,,
